size,iteration,time_vector,time_matrix
500,1,1.2e-6,0.000760799
500,2,1.7e-6,0.0007767
500,3,1.1e-6,0.001112
500,4,1.7e-6,0.0018831
500,5,1.6e-6,0.001715701
500,6,1.5e-6,0.001658199
500,7,1.1e-6,0.0684774
500,8,1.8e-6,0.0010937
500,9,1.2e-6,0.0010211
500,10,1.3e-6,0.0007976
1000,1,1.9e-6,0.0046413
1000,2,2.3e-6,0.0048585
1000,3,1.8e-6,0.0044618
1000,4,1.9e-6,0.0044286
1000,5,1.8e-6,0.0046208
1000,6,1.7e-6,0.0046208
1000,7,2.401e-6,0.0044093
1000,8,1.6e-6,0.0062761
1000,9,1.7e-6,0.0069748
1000,10,1.601e-6,0.0070828
1500,1,2.899e-6,0.0388482
1500,2,3.1e-6,0.010710699
1500,3,3.999e-6,0.0141728
1500,4,3.401e-6,0.012168099
1500,5,2.301e-6,0.010104399
1500,6,2.101e-6,0.0108796
1500,7,2.501e-6,0.0102317
1500,8,1.999e-6,0.010891001
1500,9,2.5e-6,0.0099939
1500,10,3.799e-6,0.010741601
2000,1,6.1e-6,0.0348374
2000,2,3.2e-6,0.0336289
2000,3,2.7e-6,0.0331336
2000,4,2.3e-6,0.0332698
2000,5,3.0e-6,0.0339772
2000,6,3.0e-6,0.03361
2000,7,3.0e-6,0.0283563
2000,8,2.8e-6,0.0279481
2000,9,3.4e-6,0.0362947
2000,10,3.101e-6,0.066608599
2500,1,3.999e-6,0.053639801
2500,2,3.401e-6,0.0522768
2500,3,4.101e-6,0.1000717
2500,4,4.201e-6,0.0601136
2500,5,3.0e-6,0.0513843
2500,6,3.5e-6,0.0515519
2500,7,3.0e-6,0.064692
2500,8,3.7e-6,0.0580687
2500,9,4.0e-6,0.0517059
2500,10,4.9e-6,0.0523018
3000,1,8.1e-6,0.083177
3000,2,4.099e-6,0.0873578
3000,3,6.199e-6,0.0846088
3000,4,4.3e-6,0.1126326
3000,5,5.4e-6,0.0864789
3000,6,4.0e-6,0.0829421
3000,7,4.199e-6,0.0831846
3000,8,4.9e-6,0.083289
3000,9,3.801e-6,0.0839374
3000,10,3.7e-6,0.0834356
3500,1,4.8e-6,0.1273547
3500,2,4.8e-6,0.128422
3500,3,4.8e-6,0.1281318
3500,4,4.7e-6,0.132852
3500,5,4.899e-6,0.127448401
3500,6,4.701e-6,0.1479043
3500,7,4.4e-6,0.1266617
3500,8,4.399e-6,0.129580201
3500,9,4.701e-6,0.145881299
3500,10,7.4e-6,0.141697799
4000,1,4.8e-6,0.196894599
4000,2,5.101e-6,0.22354
4000,3,4.899e-6,0.1793506
4000,4,5.2e-6,0.1806376
4000,5,5.2e-6,0.18
4000,6,7.0e-6,0.183328299
4000,7,4.8e-6,0.1799369
4000,8,5.1e-6,0.182902599
4000,9,6.0e-6,0.1825525
4000,10,5.0e-6,0.216702
4500,1,5.301e-6,0.2419759
4500,2,5.901e-6,0.2374089
4500,3,4.9e-6,0.2379996
4500,4,8.9e-6,0.2393264
4500,5,5.4e-6,0.2366333
4500,6,5.5e-6,0.274574399
4500,7,5.6e-6,0.241184999
4500,8,5.5e-6,0.2351688
4500,9,5.9e-6,0.2364101
4500,10,7.099e-6,0.2402463
5000,1,5.901e-6,0.305170699
5000,2,6.2e-6,0.341499199
5000,3,5.9e-6,0.2975397
5000,4,6.301e-6,0.296974899
5000,5,9.4e-6,0.334508399
5000,6,6.05e-6,0.354704
5000,7,7.0e-6,0.3237987
5000,8,6.299e-6,0.297530101
5000,9,6.4e-6,0.3545483
5000,10,6.799e-6,0.3030513
